1	199	1.88013
1	376	2.42031
1	388	2.60618
1	413	2.94671
1	435	3.31305
1	478	3.20322
2	6	2.14373
2	12	2.26669
2	141	2.60184
2	214	2.26274
2	324	2.95212
2	367	3.31748
3	110	2.26504
3	244	2.51946
3	256	2.7
3	279	2.47064
3	312	2.75946
3	386	3.28927
4	60	1.46969
4	101	1.5258
4	205	2.03517
4	432	3.00131
4	464	3.09241
4	500	3.57715
5	33	1.78884
5	103	2.17726
5	223	2.45379
5	260	2.60469
5	319	2.81474
5	419	2.83722
6	2	2.14373
6	12	1.85303
6	141	2.18818
6	214	2.43785
6	367	2.90382
6	447	3.17557
7	233	1.60114
7	298	1.95213
7	458	3.10269
7	459	3.24027
7	488	3.28058
7	499	2.86337
8	101	1.5258
8	200	2.26274
8	205	2.03517
8	432	3.00131
8	464	3.09241
8	500	3.57715
9	84	1.46969
9	132	1.82689
9	337	2.59059
9	371	2.87687
9	425	3.11474
9	438	2.86067
10	145	1.17056
10	204	2.26274
10	400	2.62333
10	441	2.84401
10	474	3.22435
10	493	3.38844
11	66	2.86387
11	193	2.34884
11	212	2.16829
11	235	2.17888
11	307	2.45882
11	380	2.74967
12	2	2.26669
12	6	1.85303
12	141	2.31114
12	214	2.56081
12	324	2.66142
12	367	3.02679
13	15	1.47093
13	213	1.93648
13	253	2.45205
13	316	1.97007
13	456	3.13753
13	500	3.83676
14	115	2.27279
14	122	2.26749
14	164	2.29141
14	184	2.29885
14	202	2.35599
14	446	3.29141
15	13	1.47093
15	213	1.928
15	253	2.44357
15	316	1.96159
15	456	3.12906
15	500	3.82828
16	203	2.11509
16	268	2.02174
16	286	1.99011
16	292	2.15044
16	473	3.11995
16	483	3.33441
17	75	1.46969
17	80	1.96366
17	87	2.24525
17	326	2.682
17	337	2.88971
17	425	3.41386
18	230	1.89185
18	297	2.22794
18	391	2.41904
18	417	2.76136
18	442	2.7779
18	443	2.63248
19	56	2.261
19	81	1.86536
19	255	3.00449
19	295	2.78304
19	339	3.25103
19	406	1.51459
20	22	1.49809
20	151	1.89015
20	294	2.7
20	381	2.94178
20	437	3.24637
20	495	3.63834
21	44	1.9105
21	77	2.23949
21	108	2.05707
21	271	2.74878
21	299	2.87871
21	339	2.88088
22	20	1.49809
22	151	1.7114
22	294	2.14958
22	381	2.76302
